"","idno","day","clockst","start","end","time"
"1","3264002-1991-Germany","Monday",1.3,1290,1310,20
"2","3264002-1991-Germany","Monday",1.5,1310,1320,10
"3","3264002-1991-Germany","Monday",2,1320,1440,120
"4","3264002-1991-Germany","Monday",4,0,385,385
"5","3264002-1991-Germany","Monday",10.25,385,405,20
"6","3264002-1991-Germany","Monday",10.45,405,450,45
"7","3264002-1991-Germany","Monday",11.3,450,485,35
"8","3264002-1991-Germany","Monday",12.05,485,495,10
"9","3264002-1991-Germany","Monday",12.15,495,515,20
"10","3264002-1991-Germany","Monday",12.35,515,600,85
"11","3264002-1991-Germany","Monday",14,600,615,15
"12","3264002-1991-Germany","Monday",14.15,615,640,25
"13","3264002-1991-Germany","Monday",14.4,640,705,65
"14","3264002-1991-Germany","Monday",15.45,705,710,5
"15","3264002-1991-Germany","Monday",15.5,710,725,15
"16","3264002-1991-Germany","Monday",16.05,725,730,5
"17","3264002-1991-Germany","Monday",16.1,730,750,20
"18","3264002-1991-Germany","Monday",16.3,750,770,20
"19","3264002-1991-Germany","Monday",16.5,770,820,50
"20","3264002-1991-Germany","Monday",17.4,820,835,15
"21","3264002-1991-Germany","Monday",17.55,835,865,30
"22","3264002-1991-Germany","Monday",18.25,865,900,35
"23","3264002-1991-Germany","Monday",19,900,920,20
"24","3264002-1991-Germany","Monday",19.2,920,935,15
"25","3264002-1991-Germany","Monday",19.35,935,960,25
"26","3264002-1991-Germany","Monday",20,960,985,25
"27","3264002-1991-Germany","Monday",20.25,985,990,5
"28","3264002-1991-Germany","Monday",20.3,990,1015,25
"29","3264002-1991-Germany","Monday",20.55,1015,1030,15
"30","3264002-1991-Germany","Monday",21.1,1030,1055,25
"31","3264002-1991-Germany","Monday",21.35,1055,1110,55
"32","3264002-1991-Germany","Monday",22.3,1110,1155,45
"33","3264002-1991-Germany","Monday",23.15,1155,1170,15
"34","3264002-1991-Germany","Monday",23.3,1170,1290,120
"35","3264002-1991-Germany","Tuesday",0.15,1215,1310,95
"36","3264002-1991-Germany","Tuesday",1.5,1310,1320,10
"37","3264002-1991-Germany","Tuesday",2,1320,1440,120
"38","3264002-1991-Germany","Tuesday",4,0,385,385
"39","3264002-1991-Germany","Tuesday",10.25,385,405,20
"40","3264002-1991-Germany","Tuesday",10.45,405,450,45
"41","3264002-1991-Germany","Tuesday",11.3,450,480,30
"42","3264002-1991-Germany","Tuesday",12,480,490,10
"43","3264002-1991-Germany","Tuesday",12.1,490,510,20
"44","3264002-1991-Germany","Tuesday",12.3,510,530,20
"45","3264002-1991-Germany","Tuesday",12.5,530,545,15
"46","3264002-1991-Germany","Tuesday",13.05,545,595,50
"47","3264002-1991-Germany","Tuesday",13.55,595,630,35
"48","3264002-1991-Germany","Tuesday",14.3,630,650,20
"49","3264002-1991-Germany","Tuesday",14.5,650,710,60
"50","3264002-1991-Germany","Tuesday",15.5,710,720,10
"51","3264002-1991-Germany","Tuesday",16,720,730,10
"52","3264002-1991-Germany","Tuesday",16.1,730,820,90
"53","3264002-1991-Germany","Tuesday",17.4,820,835,15
"54","3264002-1991-Germany","Tuesday",17.55,835,865,30
"55","3264002-1991-Germany","Tuesday",18.25,865,870,5
"56","3264002-1991-Germany","Tuesday",18.3,870,960,90
"57","3264002-1991-Germany","Tuesday",20,960,975,15
"58","3264002-1991-Germany","Tuesday",20.15,975,980,5
"59","3264002-1991-Germany","Tuesday",20.2,980,1015,35
"60","3264002-1991-Germany","Tuesday",20.55,1015,1030,15
"61","3264002-1991-Germany","Tuesday",21.1,1030,1050,20
"62","3264002-1991-Germany","Tuesday",21.3,1050,1065,15
"63","3264002-1991-Germany","Tuesday",21.45,1065,1080,15
"64","3264002-1991-Germany","Tuesday",22,1080,1155,75
"65","3264002-1991-Germany","Tuesday",23.15,1155,1215,60
"66","3939001-1991-Germany","Monday",0.1,1210,1260,50
"67","3939001-1991-Germany","Monday",1,1260,1270,10
"68","3939001-1991-Germany","Monday",1.1,1270,1440,170
"69","3939001-1991-Germany","Monday",4,0,485,485
"70","3939001-1991-Germany","Monday",12.05,485,505,20
"71","3939001-1991-Germany","Monday",12.25,505,540,35
"72","3939001-1991-Germany","Monday",13,540,560,20
"73","3939001-1991-Germany","Monday",13.2,560,630,70
"74","3939001-1991-Germany","Monday",14.3,630,695,65
"75","3939001-1991-Germany","Monday",15.35,695,720,25
"76","3939001-1991-Germany","Monday",16,720,750,30
"77","3939001-1991-Germany","Monday",16.3,750,780,30
"78","3939001-1991-Germany","Monday",17,780,870,90
"79","3939001-1991-Germany","Monday",18.3,870,930,60
"80","3939001-1991-Germany","Monday",19.3,930,960,30
"81","3939001-1991-Germany","Monday",20,960,1080,120
"82","3939001-1991-Germany","Monday",22,1080,1150,70
"83","3939001-1991-Germany","Monday",23.1,1150,1170,20
"84","3939001-1991-Germany","Monday",23.3,1170,1210,40
"85","3939001-1991-Germany","Tuesday",1,1260,1275,15
"86","3939001-1991-Germany","Tuesday",1.15,1275,1440,165
"87","3939001-1991-Germany","Tuesday",4,0,425,425
"88","3939001-1991-Germany","Tuesday",11.05,425,450,25
"89","3939001-1991-Germany","Tuesday",11.3,450,460,10
"90","3939001-1991-Germany","Tuesday",11.4,460,480,20
"91","3939001-1991-Germany","Tuesday",12,480,495,15
"92","3939001-1991-Germany","Tuesday",12.15,495,540,45
"93","3939001-1991-Germany","Tuesday",13,540,600,60
"94","3939001-1991-Germany","Tuesday",14,600,630,30
"95","3939001-1991-Germany","Tuesday",14.3,630,680,50
"96","3939001-1991-Germany","Tuesday",15.2,680,780,100
"97","3939001-1991-Germany","Tuesday",17,780,810,30
"98","3939001-1991-Germany","Tuesday",17.3,810,870,60
"99","3939001-1991-Germany","Tuesday",18.3,870,930,60
"100","3939001-1991-Germany","Tuesday",19.3,930,1040,110
"101","3939001-1991-Germany","Tuesday",21.2,1040,1055,15
"102","3939001-1991-Germany","Tuesday",21.35,1055,1070,15
"103","3939001-1991-Germany","Tuesday",21.5,1070,1080,10
"104","3939001-1991-Germany","Tuesday",22,1080,1090,10
"105","3939001-1991-Germany","Tuesday",22.1,1090,1135,45
"106","3939001-1991-Germany","Tuesday",22.55,1135,1145,10
"107","3939001-1991-Germany","Tuesday",23.05,1145,1170,25
"108","3939001-1991-Germany","Tuesday",23.3,1170,1260,90
"109","4622003-1991-Germany","Monday",2,1320,1440,120
"110","4622003-1991-Germany","Monday",4,0,390,390
"111","4622003-1991-Germany","Monday",10.3,390,405,15
"112","4622003-1991-Germany","Monday",10.45,405,465,60
"113","4622003-1991-Germany","Monday",11.45,465,480,15
"114","4622003-1991-Germany","Monday",12,480,495,15
"115","4622003-1991-Germany","Monday",12.15,495,515,20
"116","4622003-1991-Germany","Monday",12.35,515,525,10
"117","4622003-1991-Germany","Monday",12.45,525,530,5
"118","4622003-1991-Germany","Monday",12.5,530,630,100
"119","4622003-1991-Germany","Monday",14.3,630,720,90
"120","4622003-1991-Germany","Monday",16,720,750,30
"121","4622003-1991-Germany","Monday",16.3,750,770,20
"122","4622003-1991-Germany","Monday",16.5,770,810,40
"123","4622003-1991-Germany","Monday",17.3,810,865,55
"124","4622003-1991-Germany","Monday",18.25,865,900,35
"125","4622003-1991-Germany","Monday",19,900,930,30
"126","4622003-1991-Germany","Monday",19.3,930,1045,115
"127","4622003-1991-Germany","Monday",21.25,1045,1050,5
"128","4622003-1991-Germany","Monday",21.3,1050,1130,80
"129","4622003-1991-Germany","Monday",22.5,1130,1145,15
"130","4622003-1991-Germany","Monday",23.05,1145,1170,25
"131","4622003-1991-Germany","Monday",23.3,1170,1185,15
"132","4622003-1991-Germany","Monday",23.45,1185,1320,135
"133","4622003-1991-Germany","Tuesday",2,1320,1440,120
